Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,In-store
Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000,500000.0,150000.0,0.3,In-store
Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.0,1000,400000.0,140000.0,0.35,In-store
Foot Locker,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,In-store
Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,In-store
Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,In-store
Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.0,1250,625000.0,312500.0,0.5,In-store
Foot Locker,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3,Outlet
Foot Locker,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
Foot Locker,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129937.49999999999,0.35,Outlet
Foot Locker,2020-01-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet
Foot Locker,2020-01-24,Northeast,New York,New York,Women's Apparel,50.0,1000,500000.0,125000.0,0.25,Outlet
Foot Locker,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.0,1220,610000.0,305000.0,0.5,Outlet
Foot Locker,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,462500.0,138750.0,0.3,Outlet
Foot Locker,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
Foot Locker,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,360000.0,125999.99999999999,0.35,Outlet
Foot Locker,2020-01-29,Northeast,New York,New York,Men's Apparel,60.0,850,510000.0,153000.0,0.3,Outlet
Foot Locker,2020-01-30,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25,Outlet
Foot Locker,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.0,1200,600000.0,300000.0,0.5,Outlet
Foot Locker,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450000.0,135000.0,0.3,Outlet
Foot Locker,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.0,900,360000.0,125999.99999999999,0.35,Outlet
Foot Locker,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371250.0,129937.49999999999,0.35,Outlet
Foot Locker,2020-02-04,Northeast,New York,New York,Men's Apparel,60.0,825,495000.0,148500.0,0.3,Outlet
Foot Locker,2020-02-05,Northeast,New York,New York,Women's Apparel,50.0,950,475000.0,118750.0,0.25,Outlet
Foot Locker,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.0,1220,732000.0,366000.0,0.5,Outlet
Foot Locker,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,925,508750.00000000006,152625.0,0.3,Outlet
Foot Locker,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
Foot Locker,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,425000.0,148750.0,0.35,Outlet
Foot Locker,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875,525000.0,157500.0,0.3,Outlet
Foot Locker,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25,Outlet
Foot Locker,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5,Outlet
Foot Locker,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet
Foot Locker,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35,Outlet
Foot Locker,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
Foot Locker,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet
Foot Locker,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,1050,682500.0,170625.0,0.25,Outlet
Foot Locker,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,1275,765000.0,382500.0,0.5,Outlet
Foot Locker,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet
Foot Locker,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35,Outlet
Foot Locker,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
Foot Locker,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,925,555000.0,166500.0,0.3,Outlet
Foot Locker,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,1100,715000.0,178750.0,0.25,Outlet
Foot Locker,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5,Outlet
Foot Locker,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet
Foot Locker,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35,Outlet
Foot Locker,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,462500.0,161875.0,0.35,Outlet
Walmart,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet
Walmart,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,1075,698750.0,174687.5,0.25,Outlet
Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,1200,720000.0,360000.0,0.5,Outlet
Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet
Walmart,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35,Outlet
Walmart,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
